client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,packet_size,cpu,perceived_position_error,bandwidth
1,1,21,1765561101880.614,1765561101882.6604,2.046346664428711,0,68.0,0.8,0.0,0
2,1,21,1765561101880.9001,1765561101881.6648,0.7646083831787109,0,68.0,0.8,0.0,0
3,1,21,1765561101881.5806,1765561101883.1465,1.5659332275390625,0,68.0,0.8,0.0,0
4,1,21,1765561101881.8494,1765561101882.7559,0.9064674377441406,0,68.0,0.8,0.0,0
1,2,22,1765561101920.95,1765561101922.0122,1.0623931884765625,0.9839534759521484,78.0,3.0,0.0,29.680975276855783
2,2,22,1765561101921.1782,1765561101922.5178,1.3394355773925781,0.5748271942138672,78.0,3.0,0.0,28.590292468954306
3,2,22,1765561101921.4377,1765561101923.187,1.749277114868164,0.18334388732910156,78.0,3.0,0.0,29.170444983720106
4,2,22,1765561101921.6775,1765561101922.6023,0.9245872497558594,0.01811981201171875,78.0,3.0,0.0,29.31253408164891
1,3,23,1765561101961.572,1765561101963.503,1.9309520721435547,0.8685588836669922,57.0,3.0,0.0,20.088436298625016
2,3,23,1765561101961.841,1765561101963.5154,1.6741752624511719,0.33473968505859375,57.0,3.0,0.0,19.841030841734774
3,3,23,1765561101962.0493,1765561101963.544,1.4946460723876953,0.25463104248046875,57.0,3.0,0.0,20.199642887509565
4,3,23,1765561101962.2468,1765561101963.5442,1.2972354888916016,0.3726482391357422,57.0,3.0,0.0,20.101913214811326
1,4,24,1765561102002.5562,1765561102004.018,1.4619827270507812,0.46896934509277344,67.0,3.0,0.0,17.79862839255574
2,4,24,1765561102002.7822,1765561102003.995,1.2128353118896484,0.46133995056152344,67.0,3.0,0.0,17.657110354943967
3,4,24,1765561102002.985,1765561102004.262,1.2769699096679688,0.21767616271972656,67.0,3.0,0.0,17.834219263075777
4,4,24,1765561102003.2834,1765561102004.937,1.653432846069336,0.3561973571777344,67.0,3.0,0.0,17.678667769665143
1,5,25,1765561102043.677,1765561102044.345,0.6678104400634766,0.7941722869873047,103.0,0.0,0.0,18.45568809832996
2,5,25,1765561102043.9985,1765561102044.971,0.9725093841552734,0.240325927734375,103.0,0.0,0.0,18.272428547081635
3,5,25,1765561102044.2688,1765561102045.644,1.3751983642578125,0.09822845458984375,103.0,0.0,0.0,18.363352814795892
4,5,25,1765561102044.6628,1765561102046.2568,1.5938282012939453,0.059604644775390625,103.0,0.0,0.0,18.25065551739585
1,6,26,1765561102084.3962,1765561102086.2012,1.8050670623779297,1.1372566223144531,81.0,3.0,0.0,17.84409076133827
2,6,26,1765561102084.6956,1765561102085.7693,1.073598861694336,0.1010894775390625,81.0,3.0,0.0,17.794806773108522
3,6,26,1765561102084.915,1765561102085.9814,1.0662078857421875,0.308990478515625,81.0,3.0,0.0,17.906183348338736
4,6,26,1765561102085.1562,1765561102086.4783,1.322031021118164,0.27179718017578125,81.0,3.0,0.0,17.828180819153285
1,7,27,1765561102125.231,1765561102126.563,1.3320446014404297,0.4730224609375,68.0,3.1,0.0,17.121589549811066
2,7,27,1765561102125.5571,1765561102126.9404,1.3833045959472656,0.3097057342529297,68.0,3.1,0.0,17.025743319308535
4,7,27,1765561102125.9558,1765561102126.475,0.5192756652832031,0.8027553558349609,68.0,3.1,0.0,17.134470095384632
1,8,28,1765561102165.4119,1765561102166.9146,1.5025138854980469,0.1704692840576172,129.0,0.0,0.0,18.321632218362026
2,8,28,1765561102165.6394,1765561102167.2676,1.6281604766845703,0.2448558807373047,129.0,0.0,0.0,18.235116414450317
3,8,28,1765561102165.8813,1765561102167.1365,1.255035400390625,0.1888275146484375,142.0,0.0,0.0,16.789324145069347
4,8,28,1765561102166.0566,1765561102166.545,0.48828125,0.030994415283203125,129.0,0.0,0.0,18.35165863730213
2,9,29,1765561102206.252,1765561102207.0696,0.8177757263183594,0.8103847503662109,80.0,0.0,0.0,17.971462826497646
3,9,29,1765561102206.471,1765561102207.1663,0.6952285766601562,0.5598068237304688,80.0,0.0,0.0,16.690339327222656
4,9,29,1765561102206.6904,1765561102207.5437,0.8530616760253906,0.3647804260253906,80.0,0.0,0.0,18.0056001100478
1,10,30,1765561102246.558,1765561102248.1938,1.6355514526367188,0.13303756713867188,93.0,6.1,0.0,16.28305164554426
2,10,30,1765561102246.8147,1765561102247.714,0.8993148803710938,0.08153915405273438,68.0,6.1,0.0,17.46212795246969
3,10,30,1765561102247.0933,1765561102247.8394,0.7462501525878906,0.051021575927734375,68.0,6.1,0.0,16.320582253635404
4,10,30,1765561102247.402,1765561102249.2498,1.8475055694580078,0.9944438934326172,68.0,6.1,0.0,17.44094529626775
1,11,31,1765561102288.8928,1765561102289.8242,0.9315013885498047,0.7040500640869141,58.0,5.7,0.0,15.757785222303436
2,11,31,1765561102289.211,1765561102290.886,1.6748905181884766,0.7755756378173828,58.0,5.7,0.0,16.75377557169022
3,11,31,1765561102289.48,1765561102290.8984,1.4183521270751953,0.6721019744873047,58.0,5.7,0.0,15.73505644995186
4,11,31,1765561102289.711,1765561102290.9087,1.1975765228271484,0.6499290466308594,58.0,5.7,0.0,16.797629372996912
1,12,32,1765561102329.1768,1765561102330.9543,1.77764892578125,0.8461475372314453,68.0,3.1,0.0,15.525527553463325
2,12,32,1765561102329.3728,1765561102330.8503,1.4774799346923828,0.19741058349609375,68.0,3.1,0.0,16.47426114104086
3,12,32,1765561102329.582,1765561102331.188,1.605987548828125,0.1876354217529297,68.0,3.1,0.0,15.534275149331563
4,12,32,1765561102329.7993,1765561102330.4504,0.6511211395263672,0.5464553833007812,68.0,3.1,0.0,16.52912572385545
1,13,33,1765561102370.3015,1765561102371.4778,1.1763572692871094,0.6012916564941406,58.0,2.9,0.0,15.187675931826854
2,13,33,1765561102370.5728,1765561102371.9033,1.3306140899658203,0.1468658447265625,58.0,2.9,0.0,16.041170966182058
3,13,33,1765561102370.8145,1765561102372.2537,1.4390945434570312,0.16689300537109375,58.0,2.9,0.0,15.178677267402188
4,13,33,1765561102371.11,1765561102372.6313,1.5211105346679688,0.8699893951416016,58.0,2.9,0.0,16.053058763138353
1,14,34,1765561102411.6277,1765561102413.0845,1.4567375183105469,0.2803802490234375,104.0,0.0,0.0,15.564904444731859
2,14,34,1765561102411.8835,1765561102414.0432,2.159595489501953,0.8289813995361328,104.0,0.0,7.0710678118654755,16.334245916990657
4,14,34,1765561102412.4653,1765561102413.8484,1.383066177368164,0.1380443572998047,104.0,0.0,0.0,16.37379462202721
1,15,35,1765561102452.487,1765561102453.3772,0.8902549743652344,0.5664825439453125,69.0,0.0,0.0,15.433223707850942
2,15,35,1765561102452.7517,1765561102454.3708,1.619100570678711,0.5404949188232422,69.0,0.0,0.0,16.14789982453777
3,15,35,1765561102453.053,1765561102454.6177,1.5647411346435547,0.12564659118652344,117.0,0.0,0.0,14.62890890340088
4,15,35,1765561102453.3203,1765561102454.0864,0.7662773132324219,0.6167888641357422,69.0,0.0,0.0,16.186776174380494
1,16,36,1765561102494.0955,1765561102494.969,0.8733272552490234,0.016927719116210938,91.0,0.0,0.0,15.573846418842622
2,16,36,1765561102494.4067,1765561102496.1396,1.7328262329101562,0.11372566223144531,91.0,0.0,0.0,16.23500122571953
3,16,36,1765561102494.7478,1765561102496.0989,1.3511180877685547,0.213623046875,91.0,0.0,0.0,14.826600091689295
4,16,36,1765561102495.0308,1765561102496.0728,1.0421276092529297,0.2758502960205078,91.0,0.0,0.0,16.265653349765497
1,17,37,1765561102534.466,1765561102536.2642,1.7981529235839844,0.9248256683349609,105.0,3.1,0.0,15.875061679144437
2,17,37,1765561102534.6907,1765561102535.8254,1.1348724365234375,0.5979537963867188,105.0,3.1,0.0,16.53416494926929
3,17,37,1765561102534.9246,1765561102536.7686,1.844167709350586,0.49304962158203125,105.0,3.1,0.0,15.189205583669128
4,17,37,1765561102535.1194,1765561102536.7183,1.5990734100341797,0.55694580078125,105.0,3.1,0.0,16.539177116660383
1,18,38,1765561102575.9226,1765561102576.884,0.9613037109375,0.8368492126464844,58.0,0.0,0.0,15.61456494369694
2,18,38,1765561102576.1765,1765561102577.361,1.184701919555664,0.04982948303222656,58.0,0.0,0.0,16.21397178242908
3,18,38,1765561102576.552,1765561102577.902,1.3501644134521484,0.4940032958984375,105.0,0.0,0.0,15.49897512719984
4,18,38,1765561102576.799,1765561102578.1948,1.3957023620605469,0.2033710479736328,58.0,0.0,0.0,16.21997122714338
1,19,39,1765561102617.6873,1765561102618.916,1.2288093566894531,0.2675056457519531,92.0,0.0,0.0,15.722800289020505
2,19,39,1765561102617.9175,1765561102618.9211,1.0035037994384766,0.1811981201171875,92.0,0.0,0.0,16.298265912798254
3,19,39,1765561102618.1335,1765561102618.9067,0.7731914520263672,0.5769729614257812,92.0,0.0,0.0,15.635527930360086
4,19,39,1765561102618.3914,1765561102619.641,1.2497901916503906,0.14591217041015625,92.0,0.0,0.0,16.30647368271089
1,20,40,1765561102659.598,1765561102660.8076,1.2097358703613281,0.019073486328125,68.0,0.0,0.0,15.575458908521373
2,20,40,1765561102659.8557,1765561102660.8203,0.9646415710449219,0.03886222839355469,68.0,0.0,0.0,16.120016757425613
3,20,40,1765561102660.341,1765561102661.7449,1.40380859375,0.6306171417236328,68.0,0.0,0.0,15.473959585957212
4,20,40,1765561102660.6902,1765561102661.8792,1.1889934539794922,0.06079673767089844,68.0,0.0,0.0,16.12068352317825
1,21,41,1765561102699.7124,1765561102700.8508,1.1382102966308594,0.07152557373046875,58.0,0.0,0.0,15.380282564300266
2,21,41,1765561102699.9404,1765561102700.7554,0.8149147033691406,0.14972686767578125,58.0,0.0,0.0,15.900561401730853
3,21,41,1765561102700.1226,1765561102700.7456,0.6229877471923828,0.7808208465576172,58.0,0.0,0.0,15.303343261012767
4,21,41,1765561102700.3916,1765561102701.9355,1.5439987182617188,0.35500526428222656,58.0,0.0,0.0,15.898831719994277
1,22,42,1765561102741.5227,1765561102742.1619,0.6389617919921875,0.4992485046386719,58.0,0.0,0.0,15.18089326627502
2,22,42,1765561102741.905,1765561102743.4312,1.5261173248291016,0.7112026214599609,58.0,0.0,0.0,15.651574099912317
3,22,42,1765561102742.1982,1765561102743.7295,1.531362533569336,0.9083747863769531,58.0,0.0,0.0,15.078150372714719
4,22,42,1765561102742.455,1765561102743.402,0.9469985961914062,0.5970001220703125,58.0,0.0,0.0,15.671944370926303
1,23,43,1765561102782.2766,1765561102783.293,1.016378402709961,0.37741661071777344,68.0,0.0,0.0,15.091615024270865
2,23,43,1765561102782.5208,1765561102784.204,1.6832351684570312,0.1571178436279297,68.0,0.0,0.0,15.547245307496942
3,23,43,1765561102782.7273,1765561102784.1648,1.4376640319824219,0.09369850158691406,68.0,0.0,0.0,15.005244445913656
4,23,43,1765561102782.9766,1765561102784.1904,1.2137889862060547,0.26679039001464844,68.0,0.0,0.0,15.566298944065936
1,24,44,1765561102824.1445,1765561102825.231,1.0864734649658203,0.07009506225585938,58.0,5.7,0.0,14.912411491078592
2,24,44,1765561102824.4941,1765561102826.0925,1.598358154296875,0.08487701416015625,58.0,5.7,0.0,15.348977452036719
3,24,44,1765561102824.732,1765561102826.1277,1.3959407806396484,0.04172325134277344,58.0,5.7,0.0,14.829563921975968
4,24,44,1765561102825.0059,1765561102826.1155,1.1096000671386719,0.10418891906738281,58.0,5.7,0.0,15.366356271646925
1,25,45,1765561102864.9868,1765561102866.6042,1.617431640625,0.5309581756591797,69.0,0.0,0.0,14.84637566950207
2,25,45,1765561102865.2292,1765561102866.4363,1.2068748474121094,0.3914833068847656,69.0,0.0,0.0,15.280702415495346
3,25,45,1765561102865.444,1765561102867.2231,1.7790794372558594,0.38313865661621094,69.0,0.0,0.0,14.771206948137557
4,25,45,1765561102865.653,1765561102866.6316,0.9784698486328125,0.13113021850585938,69.0,0.0,0.0,15.294614455992685
2,26,46,1765561102906.8032,1765561102907.4204,0.6172657012939453,0.5896091461181641,68.0,3.0,0.0,15.20050172617128
3,26,46,1765561102907.0818,1765561102908.2966,1.214742660522461,0.5643367767333984,68.0,3.0,0.0,14.710040330887123
4,26,46,1765561102907.349,1765561102908.5007,1.1515617370605469,0.17309188842773438,68.0,3.0,0.0,15.20066091452691
1,27,47,1765561102946.8962,1765561102948.1348,1.2383460998535156,0.3790855407714844,79.0,0.0,0.0,14.303488190114852
2,27,47,1765561102947.1484,1765561102948.991,1.8427371978759766,1.2254714965820312,67.0,0.0,0.0,15.110657290139825
3,27,47,1765561102947.423,1765561102948.4053,0.9822845458984375,0.23245811462402344,67.0,0.0,0.0,14.65934865812573
4,27,47,1765561102947.7515,1765561102948.978,1.2264251708984375,0.07486343383789062,67.0,0.0,0.0,15.126303395778482
1,28,48,1765561102988.8804,1765561102989.9087,1.028299331665039,0.21004676818847656,67.0,5.7,0.0,14.247933483400947
2,28,48,1765561102989.134,1765561102990.8396,1.7056465148925781,0.13709068298339844,67.0,5.7,0.0,15.023781580302783
3,28,48,1765561102989.3625,1765561102990.3752,1.0128021240234375,0.030517578125,67.0,5.7,0.0,14.587771368419846
4,28,48,1765561102989.6672,1765561102990.725,1.0578632354736328,0.1685619354248047,67.0,5.7,0.0,15.040128754702812
1,29,49,1765561103029.55,1765561103031.0957,1.5456676483154297,0.5173683166503906,79.0,0.0,0.0,14.287265430567363
2,29,49,1765561103029.7964,1765561103031.098,1.3015270233154297,0.40411949157714844,79.0,0.0,0.0,15.047417651109432
3,29,49,1765561103030.0142,1765561103031.1199,1.1057853698730469,0.09298324584960938,79.0,0.0,0.0,14.620547972299178
4,29,49,1765561103030.2249,1765561103031.388,1.1632442474365234,0.10538101196289062,79.0,0.0,0.0,15.057911319021843
1,30,50,1765561103069.7053,1765561103070.5315,0.8263587951660156,0.7193088531494141,58.0,0.0,0.0,14.20356138706654
2,30,50,1765561103070.0417,1765561103071.514,1.4722347259521484,0.17070770263671875,58.0,0.0,0.0,14.926262233714473
3,30,50,1765561103070.305,1765561103071.7378,1.4328956604003906,0.32711029052734375,58.0,0.0,0.0,14.511295745891418
4,30,50,1765561103070.555,1765561103071.7708,1.2156963348388672,0.05245208740234375,58.0,0.0,0.0,14.936734695972756
1,31,51,1765561103111.7822,1765561103112.5889,0.8065700531005859,0.019788742065429688,58.0,0.0,0.0,14.09512867455492
2,31,51,1765561103112.1064,1765561103113.0334,0.926971435546875,0.5452632904052734,58.0,0.0,0.0,14.79979205684097
3,31,51,1765561103112.374,1765561103113.7058,1.3318061828613281,0.1010894775390625,58.0,0.0,0.0,14.393454767516122
4,31,51,1765561103112.6143,1765561103114.1814,1.5671253204345703,0.3514289855957031,58.0,0.0,0.0,14.799108391708907
1,32,52,1765561103152.8691,1765561103154.0896,1.2204647064208984,0.4138946533203125,68.0,3.0,0.0,14.062914404503728
2,32,52,1765561103153.164,1765561103154.7803,1.6162395477294922,0.6892681121826172,68.0,3.0,0.0,14.741789190939965
3,32,52,1765561103153.394,1765561103154.847,1.4529228210449219,0.12111663818359375,68.0,3.0,0.0,14.355582048749396
4,32,52,1765561103153.6025,1765561103155.395,1.7924308776855469,0.22530555725097656,68.0,3.0,0.0,14.74730668958492
1,33,53,1765561103193.1025,1765561103194.4668,1.3642311096191406,0.1437664031982422,68.0,0.0,0.0,14.044755422275797
2,33,53,1765561103193.3445,1765561103194.564,1.2192726135253906,0.39696693420410156,68.0,0.0,0.0,14.709431190476854
3,33,53,1765561103193.5588,1765561103194.5906,1.031637191772461,0.42128562927246094,68.0,0.0,0.0,14.33534232804479
4,33,53,1765561103193.8716,1765561103195.332,1.4605522155761719,0.331878662109375,68.0,0.0,0.0,14.71305087948765
1,34,54,1765561103233.501,1765561103235.19,1.6889572143554688,0.3247261047363281,67.0,3.0,0.0,14.01817810630797
2,34,54,1765561103233.7563,1765561103235.2231,1.4667510986328125,0.24747848510742188,67.0,3.0,0.0,14.663571766764216
3,34,54,1765561103233.9692,1765561103235.0713,1.1019706726074219,0.07033348083496094,67.0,3.0,0.0,14.3025706259377
