client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms
1,1,6,1762434702851.2112,1762434702852.0107,0.7996559143066406,0.0
1,2,7,1762434702902.017,1762434702903.0864,1.0693073272705078,0.2696514129638672
1,3,8,1762434702952.7937,1762434702952.993,0.19931793212890625,0.8699893951416016
1,4,9,1762434703003.594,1762434703004.003,0.4088878631591797,0.20956993103027344
1,5,10,1762434703055.4062,1762434703056.161,0.7545948028564453,0.3457069396972656
1,6,11,1762434703106.156,1762434703107.2312,1.0750293731689453,0.3204345703125
1,7,12,1762434703156.9006,1762434703157.1694,0.26869773864746094,0.8063316345214844
1,8,13,1762434703207.5784,1762434703208.2068,0.6284713745117188,0.3597736358642578
1,9,14,1762434703258.269,1762434703259.2546,0.9856224060058594,0.3571510314941406
1,10,15,1762434703310.1372,1762434703310.3,0.1628398895263672,0.8227825164794922
1,11,16,1762434703360.8162,1762434703361.3152,0.4990100860595703,0.3361701965332031
1,12,17,1762434703411.553,1762434703412.3835,0.8306503295898438,0.33164024353027344
1,13,18,1762434703462.3574,1762434703463.5208,1.1632442474365234,0.3325939178466797
1,14,19,1762434703513.1719,1762434703513.4604,0.2884864807128906,0.8747577667236328
1,15,20,1762434703564.995,1762434703565.5999,0.6048679351806641,0.31638145446777344
1,16,21,1762434703615.8623,1762434703616.8022,0.9398460388183594,0.3349781036376953
1,17,22,1762434703666.5964,1762434703666.8052,0.20885467529296875,0.7309913635253906
1,18,23,1762434703717.3206,1762434703717.8806,0.5602836608886719,0.3514289855957031
1,19,24,1762434703768.062,1762434703768.949,0.8869171142578125,0.3266334533691406
1,20,25,1762434703819.97,1762434703821.0688,1.0988712310791016,0.21195411682128906
1,21,26,1762434703870.301,1762434703870.9966,0.6954669952392578,0.40340423583984375
1,22,27,1762434703921.114,1762434703922.0388,0.9248256683349609,0.22935867309570312
1,23,28,1762434703971.8928,1762434703972.047,0.15425682067871094,0.77056884765625
1,24,29,1762434704022.5964,1762434704023.1372,0.5407333374023438,0.3864765167236328
1,25,30,1762434704073.379,1762434704074.2312,0.8523464202880859,0.3116130828857422
1,26,31,1762434704125.207,1762434704126.3008,1.0938644409179688,0.2415180206298828
1,27,32,1762434704175.9216,1762434704176.2905,0.3688335418701172,0.7250308990478516
1,28,33,1762434704226.5896,1762434704227.2495,0.659942626953125,0.2911090850830078
1,29,34,1762434704277.387,1762434704278.2388,0.8518695831298828,0.1919269561767578
1,30,35,1762434704327.7854,1762434704328.1707,0.38504600524902344,0.4668235778808594
1,31,36,1762434704379.634,1762434704380.2583,0.6241798400878906,0.2391338348388672
1,32,37,1762434704431.657,1762434704432.4524,0.7953643798828125,0.17118453979492188
1,33,38,1762434704482.426,1762434704483.5225,1.096487045288086,0.30112266540527344
1,34,39,1762434704533.1475,1762434704533.491,0.34332275390625,0.7531642913818359
1,35,40,1762434704584.9736,1762434704585.6372,0.6635189056396484,0.32019615173339844
1,36,41,1762434704636.741,1762434704637.685,0.9441375732421875,0.28061866760253906
1,37,42,1762434704688.5427,1762434704688.6877,0.14519691467285156,0.7989406585693359
1,38,43,1762434704739.3342,1762434704739.6821,0.3478527069091797,0.20265579223632812
1,39,44,1762434704790.0356,1762434704790.685,0.6494522094726562,0.30159950256347656
1,40,45,1762434704841.835,1762434704842.7524,0.9174346923828125,0.26798248291015625
1,41,46,1762434704892.4136,1762434704892.6873,0.27370452880859375,0.6437301635742188
1,42,47,1762434704942.815,1762434704943.668,0.8530616760253906,0.5793571472167969
1,43,48,1762434704993.5737,1762434704994.6453,1.0716915130615234,0.2186298370361328
1,44,49,1762434705044.2036,1762434705044.5898,0.38623809814453125,0.6854534149169922
1,45,50,1762434705095.966,1762434705096.7031,0.7369518280029297,0.35071372985839844
1,46,51,1762434705147.6606,1762434705148.7393,1.0786056518554688,0.34165382385253906
1,47,52,1762434705199.5151,1762434705199.756,0.2410411834716797,0.8375644683837891
1,48,53,1762434705250.2085,1762434705250.774,0.5652904510498047,0.324249267578125
1,49,54,1762434705300.8616,1762434705301.7554,0.8938312530517578,0.3285408020019531
1,50,55,1762434705351.9822,1762434705352.6848,0.7026195526123047,0.19121170043945312
1,51,56,1762434705402.5103,1762434705403.615,1.1048316955566406,0.40221214294433594
1,52,57,1762434705453.1836,1762434705453.5366,0.3528594970703125,0.7519721984863281
1,53,58,1762434705504.1274,1762434705504.5007,0.3731250762939453,0.020265579223632812
1,54,59,1762434705554.5964,1762434705555.6802,1.0838508605957031,0.7107257843017578
1,55,60,1762434705606.6436,1762434705607.7104,1.0666847229003906,0.0171661376953125
1,56,61,1762434705657.1445,1762434705657.6033,0.45871734619140625,0.6079673767089844
1,57,62,1762434705707.8652,1762434705708.5547,0.6895065307617188,0.2307891845703125
1,58,63,1762434705758.5764,1762434705759.4946,0.9181499481201172,0.22864341735839844
1,59,64,1762434705809.2905,1762434705809.3892,0.09846687316894531,0.8196830749511719
1,60,65,1762434705861.1455,1762434705861.4248,0.27942657470703125,0.18095970153808594
1,61,66,1762434705911.6477,1762434705912.3892,0.7414817810058594,0.4620552062988281
1,62,67,1762434705962.384,1762434705963.3323,0.9481906890869141,0.2067089080810547
1,63,68,1762434706013.158,1762434706014.2966,1.1386871337890625,0.19049644470214844
1,64,69,1762434706063.8901,1762434706064.3,0.40984153747558594,0.7288455963134766
1,65,70,1762434706115.822,1762434706116.403,0.5810260772705078,0.17118453979492188
1,66,71,1762434706166.0962,1762434706166.3633,0.26702880859375,0.3139972686767578
