client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms
100,1,367,1765244821907.7002,1765244822007.8557,100.15535354614258,0.0
100,2,368,1765244821959.291,1765244822060.1272,100.83627700805664,0.6809234619140625
100,3,369,1765244822011.0637,1765244822112.2678,101.20391845703125,0.3676414489746094
100,4,370,1765244822063.0388,1765244822164.4255,101.38678550720215,0.18286705017089844
100,5,371,1765244822113.3806,1765244822214.5852,101.20463371276855,0.18215179443359375
100,6,372,1765244822164.4055,1765244822265.6113,101.20582580566406,0.0011920928955078125
100,7,373,1765244822215.8816,1765244822316.2117,100.33011436462402,0.8757114410400391
100,8,374,1765244822267.5793,1765244822369.2559,101.67646408081055,1.3463497161865234
100,9,375,1765244822317.759,1765244822418.9514,101.19247436523438,0.4839897155761719
100,10,376,1765244822369.1458,1765244822469.953,100.80718994140625,0.385284423828125
100,11,377,1765244822420.1907,1765244822520.677,100.48651695251465,0.32067298889160156
100,12,378,1765244822470.3564,1765244822570.518,100.16155242919922,0.3249645233154297
100,13,379,1765244822521.7056,1765244822622.2856,100.57997703552246,0.4184246063232422
100,14,380,1765244822573.0576,1765244822673.307,100.2492904663086,0.3306865692138672
100,15,381,1765244822623.6716,1765244822724.2703,100.59881210327148,0.3495216369628906
100,16,382,1765244822675.9783,1765244822776.4321,100.45385360717773,0.14495849609375
100,17,383,1765244822727.4995,1765244822828.259,100.75950622558594,0.3056526184082031
100,18,384,1765244822779.4873,1765244822879.7932,100.30579566955566,0.45371055603027344
100,19,385,1765244822830.0369,1765244822930.6306,100.59380531311035,0.2880096435546875
100,20,386,1765244822882.2727,1765244822982.568,100.2953052520752,0.29850006103515625
100,21,387,1765244822934.3887,1765244823035.337,100.94833374023438,0.6530284881591797
100,22,388,1765244822984.9268,1765244823085.1235,100.19683837890625,0.751495361328125
100,23,389,1765244823036.5215,1765244823137.5054,100.98385810852051,0.7870197296142578
100,24,390,1765244823088.3494,1765244823188.6604,100.3110408782959,0.6728172302246094
100,25,391,1765244823138.9775,1765244823239.7986,100.82101821899414,0.5099773406982422
100,26,392,1765244823191.1182,1765244823292.104,100.98576545715332,0.1647472381591797
100,27,393,1765244823242.9558,1765244823343.12,100.16417503356934,0.8215904235839844
100,28,394,1765244823294.6616,1765244823395.0986,100.43716430664062,0.27298927307128906
100,29,395,1765244823345.2998,1765244823445.9688,100.66890716552734,0.23174285888671875
100,30,396,1765244823397.419,1765244823498.0447,100.62575340270996,0.04315376281738281
100,31,397,1765244823447.8086,1765244823547.9634,100.15487670898438,0.47087669372558594
100,32,398,1765244823498.9993,1765244823599.3215,100.32224655151367,0.16736984252929688
100,33,399,1765244823549.0955,1765244823650.2349,101.13954544067383,0.8172988891601562
100,34,400,1765244823599.1665,1765244823700.1133,100.94690322875977,0.1926422119140625
100,35,401,1765244823649.1494,1765244823749.9697,100.82030296325684,0.1266002655029297
100,36,402,1765244823699.402,1765244823799.9614,100.55923461914062,0.26106834411621094
100,37,403,1765244823750.4807,1765244823850.7754,100.29482841491699,0.2644062042236328
100,38,404,1765244823801.3245,1765244823901.672,100.34775733947754,0.052928924560546875
100,39,405,1765244823852.8967,1765244823953.7,100.80337524414062,0.45561790466308594
100,40,406,1765244823903.324,1765244824003.4119,100.08788108825684,0.7154941558837891
100,41,407,1765244823954.8901,1765244824056.223,101.3326644897461,1.2447834014892578
100,42,408,1765244824005.0967,1765244824105.8408,100.74424743652344,0.5884170532226562
100,43,409,1765244824056.3403,1765244824156.767,100.42691230773926,0.3173351287841797
100,44,410,1765244824107.0586,1765244824207.6777,100.61931610107422,0.19240379333496094
100,45,411,1765244824158.9744,1765244824259.221,100.24642944335938,0.37288665771484375
100,46,412,1765244824211.204,1765244824312.3167,101.11260414123535,0.8661746978759766
100,47,413,1765244824262.9343,1765244824363.275,100.34036636352539,0.7722377777099609
100,48,414,1765244824313.343,1765244824413.904,100.56090354919434,0.2205371856689453
100,49,415,1765244824363.5938,1765244824463.8203,100.22640228271484,0.3345012664794922
100,50,416,1765244824415.3066,1765244824515.8074,100.50082206726074,0.27441978454589844
100,51,417,1765244824467.0645,1765244824567.793,100.72851181030273,0.2276897430419922
100,52,418,1765244824518.4824,1765244824619.6697,101.18722915649414,0.45871734619140625
100,53,419,1765244824569.7805,1765244824670.5215,100.74090957641602,0.446319580078125
100,54,420,1765244824620.768,1765244824722.0808,101.31263732910156,0.5717277526855469
100,55,421,1765244824671.503,1765244824771.828,100.32510757446289,0.9875297546386719
100,56,422,1765244824722.5999,1765244824823.091,100.49128532409668,0.16617774963378906
100,57,423,1765244824773.659,1765244824874.0483,100.38924217224121,0.10204315185546875
100,58,424,1765244824824.7756,1765244824925.9094,101.13382339477539,0.7445812225341797
100,59,425,1765244824876.1182,1765244824976.7126,100.59452056884766,0.5393028259277344
100,60,426,1765244824928.3442,1765244825029.624,101.27973556518555,0.6852149963378906
100,61,427,1765244824978.829,1765244825079.895,101.06587409973145,0.21386146545410156
100,62,428,1765244825029.3655,1765244825129.6638,100.29816627502441,0.7677078247070312
100,63,429,1765244825080.167,1765244825180.6062,100.43907165527344,0.14090538024902344
100,64,430,1765244825130.9292,1765244825231.6382,100.7089614868164,0.26988983154296875
100,65,431,1765244825182.7817,1765244825283.7603,100.97861289978027,0.2696514129638672
100,66,432,1765244825233.5225,1765244825334.1467,100.62432289123535,0.3542900085449219
100,67,433,1765244825284.1848,1765244825385.141,100.95620155334473,0.331878662109375
100,68,434,1765244825334.8064,1765244825434.9502,100.1436710357666,0.812530517578125
