client_id,snapshot_id,seq_num,server_timestamp_ms,recv_time_ms,latency_ms,jitter_ms,packet_size,cpu,perceived_position_error,bandwidth
1,1,20,1766600707324.279,1766600707324.9465,0.667572021484375,0,79.0,0.8,0.0,0
2,1,20,1766600707324.8757,1766600707326.022,1.146078109741211,0,79.0,0.8,0.0,0
3,1,20,1766600707325.1484,1766600707326.892,1.7437934875488281,0,79.0,0.8,0.0,0
4,1,20,1766600707325.299,1766600707326.0093,0.7102489471435547,0,79.0,0.8,0.0,0
1,2,21,1766600707365.5503,1766600707366.85,1.2998580932617188,0.6322860717773438,57.0,0.0,0.0,25.964378310038047
2,2,21,1766600707365.8784,1766600707366.9392,1.0609626770019531,0.08511543273925781,57.0,0.0,0.0,26.59026116219264
3,2,21,1766600707366.5728,1766600707367.6067,1.033782958984375,0.7100105285644531,57.0,0.0,0.0,26.72260099420149
4,2,21,1766600707366.9407,1766600707367.9277,0.9870529174804688,0.27680397033691406,57.0,0.0,0.0,25.955153816584936
1,3,22,1766600707407.491,1766600707408.6238,1.1327266693115234,0.1671314239501953,103.0,3.0,0.0,22.84970035770346
2,3,22,1766600707408.2192,1766600707409.3435,1.1241436004638672,0.06318092346191406,103.0,3.0,0.0,22.94724936636535
3,3,22,1766600707408.5662,1766600707409.9033,1.3370513916015625,0.3032684326171875,103.0,3.0,0.0,23.033028051786104
4,3,22,1766600707408.7603,1766600707409.356,0.5955696105957031,0.3914833068847656,103.0,3.0,0.0,22.940325963419923
1,4,23,1766600707449.191,1766600707450.5583,1.3675689697265625,0.23484230041503906,67.0,2.9,0.0,19.48861237769822
2,4,23,1766600707449.4207,1766600707451.0037,1.5828609466552734,0.45871734619140625,67.0,2.9,0.0,19.58686917028862
3,4,23,1766600707449.5786,1766600707450.6687,1.0902881622314453,0.2467632293701172,67.0,2.9,0.0,19.77756519372215
4,4,23,1766600707449.7417,1766600707450.7007,0.9591579437255859,0.3635883331298828,67.0,2.9,0.0,19.632467654522102
1,5,24,1766600707489.8604,1766600707491.209,1.348733901977539,0.018835067749023438,81.0,3.0,0.0,18.62116177271733
